id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42932,"Charming apartment, Oslo Center, Ro",187463,Cecilie,,Frogner,59.91201,10.72455,Entire home/apt,1999,3,38,2019-06-19,0.73,2,349,0,
69964,Lovely flat in Oslo city centre,175633,Kris,,Sagene,59.94059,10.77397,Entire home/apt,889,28,9,2012-08-10,1.28,1,336,2,
71725,Central big room - ap with balcony,368229,Reidun,,Gamle Oslo,59.90795,10.77987,Private room,507,4,49,2019-11-09,0.50,1,290,0,
85902,"Stylish design apt, east. Close to train station",250159,Melissa,,Gamle Oslo,59.91074,10.77232,Entire home/apt,821,5,63,2019-09-28,1.24,2,0,0,
92103,Trendy Urban Downtown Oslo.,496205,Dorte,,Grünerløkka,59.91818,10.75521,Entire home/apt,1281,3,20,2013-08-03,0.16,1,303,0,
94158,Beautiful 3 bedroom penthouse,503528,Katrine,,Gamle Oslo,59.90703,10.78589,Entire home/apt,750,4,140,2017-08-31,1.66,1,0,5,
123041,"Cozy room in design apartment, central east side",250159,Melissa,,Gamle Oslo,59.91253,10.77205,Private room,364,4,230,2017-12-03,2.73,2,0,0,
149776,Bird's nest in the heart of Oslo,714768,Henrik,,St. Hanshaugen,59.92398,10.74787,Private room,659,5,41,2019-07-04,0.36,2,273,3,
174372,New spacious central 2BR w/terrace,114189,Christina,,Sagene,59.93024,10.75964,Entire home/apt,13934,100,36,2014-06-18,0.31,1,365,0,
213320,"★ _By Oslo central station,  for up to 5 people",374009,Jan,,Gamle Oslo,59.91121,10.76367,Entire home/apt,1020,1,237,2019-08-26,2.32,6,101,4,
256459,Waterfront suite 12 min from centre,1347737,Kåre & Truls,,Nordstrand,59.84704,10.7778,Entire home/apt,790,1,260,2019-12-29,2.56,3,361,6,
275790,"Peaceful, central with balcony.",793479,Espen,,Sagene,59.93061,10.75375,Entire home/apt,680,14,10,2019-08-03,0.08,1,228,0,
